"price","sqft","bedrooms","baths","age","pool","style","fireplace","waterfront","dom"
72500,1203,3,1,35,0,1,0,0,6
146000,2536,4,2,1,0,1,0,0,111
35000,1714,3,1,35,0,1,1,0,33
124400,1848,3,2,8,0,1,1,0,176
97500,1358,3,2,25,0,1,1,0,35
62000,1090,3,1,35,0,1,0,0,168
165900,2174,3,2,1,0,1,1,0,154
129800,2348,3,2,1,0,1,0,0,0
133800,2418,4,2,1,0,1,0,0,0
80001,2291,3,2,25,0,1,1,0,7
128900,2770,4,2,45,0,1,0,0,26
110000,2005,3,2,25,0,1,0,0,71
196900,2779,4,2,1,0,1,0,0,71
122000,1308,3,2,8,0,1,1,0,7
128000,2083,4,2,8,1,1,0,0,34
120000,2222,4,2,35,0,1,0,0,150
59895,1865,3,2,25,0,1,0,0,65
207255,2135,3,2,1,0,1,0,0,36
163500,2517,4,2,8,0,1,1,0,15
97900,2419,3,2,18,0,1,0,0,46
68500,790,1,1,18,0,1,1,0,8
87000,1974,3,1,35,0,1,0,0,387
120459,1590,3,2,35,0,1,1,0,27
36000,900,3,1,35,0,1,0,0,40
103000,2246,3,2,25,0,1,1,0,9
22654,1080,2,1,63,0,1,0,0,8
114500,1933,3,2,1,0,1,0,0,21
69000,1236,3,2,35,0,1,0,0,301
143000,2452,3,2,18,0,1,1,0,7
137900,1595,3,2,25,0,1,0,0,31
134300,2418,4,2,1,0,1,0,0,144
125000,2127,3,2,2,0,1,0,0,59
135700,2418,4,2,1,0,1,0,0,47
142000,2532,4,2,2,0,1,1,1,227
100900,1514,3,2,8,0,1,0,0,11
146715,2467,3,2,1,0,1,0,0,0
325000,3812,4,3,13,0,1,1,0,3
111900,1933,3,2,1,0,1,0,0,0
118500,2550,4,2,35,0,1,0,0,124
85000,1400,3,2,35,0,1,0,0,26
135000,1914,3,2,2,0,1,0,0,35
98900,1228,2,2,25,0,1,1,0,123
33000,1579,3,1,45,0,1,0,0,32
82300,1231,3,1,35,0,1,0,0,44
120500,1977,3,2,2,0,1,1,0,43
167500,2560,3,2,2,0,1,1,0,149
124000,1372,3,2,8,0,1,1,0,7
148000,3027,3,2,45,0,1,1,0,79
287500,2087,3,2,63,0,1,1,0,4
72500,1500,4,1,45,0,1,0,0,30
675000,5858,4,3,8,0,1,1,1,157
111900,1933,3,2,1,0,1,0,0,191
137500,1965,3,2,25,0,1,1,0,11
105000,2200,3,2,25,0,1,1,0,186
129000,2379,3,2,1,0,1,0,0,233
89000,1358,3,2,18,0,1,0,0,39
255000,3251,4,3,5,0,1,1,0,125
67500,1321,3,2,45,0,1,0,0,4
175900,3116,5,3,1,0,1,0,0,0
243900,2457,4,2,13,1,1,1,0,9
425000,6194,6,5,8,0,1,1,1,14
195500,2923,4,2,13,0,1,1,0,12
66000,741,1,1,18,1,1,0,0,23
254000,3122,4,3,8,0,1,1,0,33
138500,1541,3,2,13,0,1,0,0,9
219000,2918,3,3,63,0,1,1,0,263
